timestamp(ms),GPS[0].Lat,GPS[0].Lng,BARO[0].AltAMSL,ARSP[0].Airspeed,GPS[0].Spd,CTUN.As
584501.0611260935,527824763,-7085147,176.81529235839844,14.143484115600586,18.04800033569336,14.305030822753906
584601.0611260935,527824763,-7085147,176.5619659423828,14.694427490234375,18.04800033569336,14.256759643554688
584701.0611260935,527825085,-7085246,176.18199157714844,14.722558975219727,18.398000717163086,14.389457702636719
584801.0611260935,527825085,-7085246,175.82679748535156,14.5700101852417,18.398000717163086,14.490191459655762
584901.0611260935,527825407,-7085362,175.6808624267578,14.049565315246582,18.119001388549805,14.51418399810791
585001.0611260935,527825407,-7085362,175.81027221679688,13.901532173156738,18.119001388549805,14.376375198364258
585101.0611260935,527825717,-7085509,175.64781188964844,14.201873779296875,17.716001510620117,14.23558521270752
585201.0611260935,527825717,-7085509,175.88186645507812,14.114200592041016,17.716001510620117,14.225481033325195
585301.0611260935,527826013,-7085687,176.10488891601562,13.679526329040527,17.202001571655273,14.192188262939453
585401.0611260935,527826013,-7085687,176.1599578857422,13.594572067260742,17.202001571655273,14.040355682373047
585501.0611260935,527826293,-7085890,176.49038696289062,14.300585746765137,16.799001693725586,13.908121109008789
585601.0611260935,527826293,-7085890,176.62530517578125,13.889625549316406,16.799001693725586,14.027012825012207
585701.0611260935,527826562,-7086101,176.91441345214844,14.172710418701172,16.315000534057617,13.98593807220459
585801.0611260935,527826562,-7086101,177.4788818359375,14.387118339538574,16.315000534057617,14.042230606079102
585901.0611260935,527826828,-7086310,177.8643798828125,14.513104438781738,16.242000579833984,14.146580696105957
586001.0611260935,527826828,-7086310,178.34898376464844,14.392868041992188,16.242000579833984,14.257526397705078
586101.0611260935,527827094,-7086512,178.91896057128906,14.421589851379395,16.360000610351562,14.298263549804688
586201.0611260935,527827094,-7086512,179.01808166503906,14.923526763916016,16.360000610351562,14.335372924804688
586301.0611260935,527827360,-7086711,178.3214569091797,14.014175415039062,16.104000091552734,14.514322280883789
586401.0611260935,527827360,-7086711,177.88916015625,14.329486846923828,16.104000091552734,14.366106033325195
586501.0611260935,527827622,-7086909,177.503662109375,14.455972671508789,15.905000686645508,14.355130195617676
586601.0611260935,527827622,-7086909,176.90615844726562,14.329484939575195,15.905000686645508,14.385457038879395
586701.0611260935,527827879,-7087117,176.10765075683594,14.323710441589355,15.93700122833252,14.368688583374023
586801.0611260935,527827879,-7087117,176.01402282714844,14.025980949401855,15.93700122833252,14.355209350585938
586901.0611260935,527828132,-7087342,176.13243103027344,13.311630249023438,15.917000770568848,14.257238388061523
587001.0611260935,527828132,-7087342,176.09112548828125,12.635529518127441,15.917000770568848,13.980274200439453
587101.0611260935,527828373,-7087585,176.0966339111328,12.609305381774902,15.60400104522705,13.590827941894531
587201.0611260935,527828373,-7087585,175.79100036621094,12.497244834899902,15.60400104522705,13.303977012634277
587301.0611260935,527828607,-7087833,175.99200439453125,12.038565635681152,15.38900089263916,13.067188262939453
587401.0611260935,527828607,-7087833,175.86257934570312,12.424192428588867,15.38900089263916,12.767306327819824
587501.0611260935,527828836,-7088082,175.98373413085938,13.311630249023438,15.244000434875488,12.665348052978516
